Official Code Section,Public Law Number,Approval Date,Statutes at Large Citation,Section of Law,Type of Change,Title
01-204.24b,113-235,12/16/14,128 Stat 2393,"T. VIII, D. E",Note,General Provisions - District of Columbia
01-204.24b,113-164,10/29/14,128 Stat. 1867,123,Note,"Continuing Appropriations Resolution, 2015"
